,Window_size,Torelax,Gyro,Filter,magnitude,justHand,F1s,F1e,MAE_S,ratio_S,hist_S,count_S,MAE_E,ratio_E,hist_E,count_E,total_steps
0,100,True,True,True,True,True,0.8835451006889343,0.882291316986084,1.9333332777023315,0.8927727916863486,"[322.0, 649.0, 412.0, 231.0, 107.0, 67.0, 40.0, 28.0, 17.0, 17.0]",1890,1.9644185304641724,0.8894662257912139,"[330.0, 624.0, 415.0, 218.0, 114.0, 73.0, 43.0, 31.0, 20.0, 15.0]",1883,2117
1,100,False,True,True,True,True,0.8427285552024841,0.8416413068771362,2.0616400241851807,0.858290033065659,"[322.0, 561.0, 398.0, 221.0, 116.0, 80.0, 41.0, 32.0, 22.0, 24.0]",1817,2.0916426181793213,0.819555975436939,"[306.0, 534.0, 379.0, 187.0, 132.0, 71.0, 52.0, 31.0, 23.0, 20.0]",1735,2117
2,200,True,True,True,True,True,0.8791372179985046,0.8782360553741455,1.9984127283096313,0.8927727916863486,"[339.0, 558.0, 473.0, 219.0, 131.0, 57.0, 45.0, 29.0, 17.0, 22.0]",1890,2.0005300045013428,0.8913556920170052,"[332.0, 588.0, 443.0, 218.0, 127.0, 69.0, 38.0, 32.0, 18.0, 22.0]",1887,2117
3,200,False,True,True,True,True,0.858851432800293,0.8620250821113586,1.9169329404830933,0.7392536608408125,"[300.0, 534.0, 315.0, 195.0, 83.0, 42.0, 29.0, 23.0, 22.0, 22.0]",1565,1.8333333730697632,0.7425602267359471,"[311.0, 523.0, 352.0, 191.0, 75.0, 37.0, 31.0, 20.0, 17.0, 15.0]",1572,2117
4,100,True,True,True,True,False,0.9099822640419006,0.908667266368866,1.6413518190383911,0.9469768540387341,"[1709.0, 2855.0, 1808.0, 856.0, 362.0, 174.0, 101.0, 68.0, 51.0, 35.0]",8019,1.6635868549346924,0.9330420406235238,"[1652.0, 2809.0, 1782.0, 861.0, 352.0, 182.0, 106.0, 60.0, 59.0, 38.0]",7901,8468
5,100,False,True,True,True,False,0.8444671630859375,0.8421334624290466,1.813519835472107,0.050661313179026925,"[100.0, 155.0, 71.0, 38.0, 21.0, 18.0, 8.0, 7.0, 3.0, 8.0]",429,1.877500057220459,0.04723665564478035,"[81.0, 149.0, 67.0, 44.0, 19.0, 16.0, 8.0, 3.0, 6.0, 7.0]",400,8468
6,200,True,True,True,True,False,0.9087309241294861,0.9070755243301392,1.6839698553085327,0.9554794520547946,"[1613.0, 3013.0, 1770.0, 794.0, 400.0, 213.0, 115.0, 88.0, 46.0, 39.0]",8091,1.714072823524475,0.9507557864903164,"[1571.0, 2962.0, 1751.0, 860.0, 416.0, 182.0, 126.0, 83.0, 55.0, 45.0]",8051,8468
7,200,False,True,True,True,False,0.8437448143959045,0.842353880405426,1.8034300804138184,0.08951346244685876,"[192.0, 252.0, 128.0, 76.0, 43.0, 17.0, 14.0, 8.0, 18.0, 10.0]",758,1.7182910442352295,0.0884506376948512,"[203.0, 250.0, 112.0, 68.0, 51.0, 24.0, 21.0, 7.0, 7.0, 6.0]",749,8468
8,100,True,False,True,True,True,0.8334622979164124,0.8326003551483154,2.264976978302002,0.8200283419933869,"[298.0, 493.0, 338.0, 229.0, 131.0, 97.0, 55.0, 42.0, 34.0, 19.0]",1736,2.2852253913879395,0.8280585734529995,"[305.0, 504.0, 310.0, 239.0, 134.0, 98.0, 72.0, 42.0, 28.0, 21.0]",1753,2117
9,100,False,False,True,True,True,0.8040865659713745,0.8005994558334351,2.3167450428009033,0.7024090694378838,"[247.0, 392.0, 323.0, 204.0, 114.0, 70.0, 46.0, 37.0, 32.0, 22.0]",1487,2.352989435195923,0.5767595654227681,"[177.0, 336.0, 279.0, 165.0, 83.0, 64.0, 50.0, 26.0, 19.0, 22.0]",1221,2117
10,200,True,False,True,True,True,0.8654435873031616,0.8679903149604797,2.1349036693573,0.8823807274444969,"[348.0, 561.0, 380.0, 201.0, 155.0, 82.0, 41.0, 40.0, 32.0, 28.0]",1868,2.1178970336914062,0.8894662257912139,"[330.0, 583.0, 391.0, 221.0, 147.0, 77.0, 39.0, 36.0, 30.0, 29.0]",1883,2117
11,200,False,False,True,True,True,0.8172219395637512,0.8189752101898193,2.070068597793579,0.620217288615966,"[253.0, 421.0, 244.0, 144.0, 93.0, 56.0, 40.0, 26.0, 21.0, 15.0]",1313,2.1244869232177734,0.6905999055266887,"[253.0, 496.0, 268.0, 166.0, 90.0, 61.0, 44.0, 41.0, 27.0, 16.0]",1462,2117
12,100,True,False,True,True,False,0.9003952145576477,0.8985463976860046,1.8224310874938965,0.942371280113368,"[1513.0, 2668.0, 1859.0, 932.0, 440.0, 203.0, 148.0, 98.0, 59.0, 60.0]",7980,1.834243655204773,0.9297354747283892,"[1473.0, 2655.0, 1788.0, 968.0, 424.0, 207.0, 123.0, 99.0, 80.0, 56.0]",7873,8468
13,100,False,False,True,True,False,0.8335161805152893,0.8301123380661011,1.8503936529159546,0.08998582900330657,"[157.0, 269.0, 153.0, 74.0, 44.0, 12.0, 15.0, 22.0, 11.0, 5.0]",762,1.75828218460083,0.09624468587623997,"[194.0, 284.0, 158.0, 76.0, 33.0, 19.0, 13.0, 17.0, 8.0, 13.0]",815,8468
14,200,True,False,True,True,False,0.899574875831604,0.8985929489135742,1.8249717950820923,0.9439064714218234,"[1468.0, 2789.0, 1795.0, 895.0, 444.0, 245.0, 142.0, 96.0, 73.0, 46.0]",7993,1.8201204538345337,0.9414265470004723,"[1544.0, 2694.0, 1741.0, 945.0, 461.0, 235.0, 138.0, 107.0, 60.0, 47.0]",7972,8468
15,200,False,False,True,True,False,0.8292332291603088,0.8290741443634033,1.8840361833572388,0.07841284837033538,"[149.0, 229.0, 113.0, 75.0, 33.0, 17.0, 13.0, 14.0, 11.0, 10.0]",664,1.797992467880249,0.09411903637222485,"[181.0, 300.0, 133.0, 66.0, 42.0, 24.0, 12.0, 12.0, 18.0, 9.0]",797,8468
