sep=,
,Window_size,Torelax,Gyro,Filter,magnitude,justHand,F1s,F1e,MAE_S,ratio_S,hist_S,count_S,MAE_E,ratio_E,hist_E,count_E,total_steps
0,100,True,True,True,True,True,0.8786474466323853,0.876757025718689,1.9066873788833618,0.911195087387813,"[381.0, 598.0, 435.0, 249.0, 102.0, 59.0, 38.0, 25.0, 21.0, 21.0]",1929,1.9163202047348022,0.908833254605574,"[350.0, 633.0, 418.0, 246.0, 113.0, 59.0, 47.0, 26.0, 19.0, 13.0]",1924,2117
1,200,True,True,True,True,True,0.8791372179985046,0.879088282585144,2.0041885375976562,0.9022201228153047,"[337.0, 580.0, 465.0, 221.0, 130.0, 66.0, 35.0, 33.0, 23.0, 20.0]",1910,1.9715938568115234,0.8979688238072745,"[331.0, 602.0, 451.0, 230.0, 118.0, 58.0, 38.0, 35.0, 23.0, 15.0]",1901,2117
2,100,True,True,False,True,True,0.8796367645263672,0.877951979637146,1.8870360851287842,0.8781294284364667,"[340.0, 659.0, 367.0, 225.0, 113.0, 64.0, 27.0, 26.0, 18.0, 20.0]",1859,1.9076673984527588,0.8748228625413321,"[370.0, 624.0, 358.0, 203.0, 130.0, 60.0, 41.0, 28.0, 20.0, 18.0]",1852,2117
3,200,True,True,False,True,True,0.8943589329719543,0.8907837271690369,1.7884615659713745,0.908833254605574,"[400.0, 682.0, 385.0, 202.0, 105.0, 52.0, 37.0, 28.0, 12.0, 21.0]",1924,1.819466233253479,0.9026924893717525,"[411.0, 648.0, 391.0, 177.0, 113.0, 62.0, 51.0, 26.0, 22.0, 10.0]",1911,2117
4,100,True,True,True,False,True,0.8688424825668335,0.8695477843284607,2.1053476333618164,0.8833254605573926,"[337.0, 591.0, 347.0, 244.0, 129.0, 80.0, 59.0, 34.0, 29.0, 20.0]",1870,2.144533395767212,0.8856872933396316,"[335.0, 566.0, 383.0, 228.0, 128.0, 89.0, 59.0, 31.0, 27.0, 29.0]",1875,2117
5,200,True,True,True,False,True,0.8715851306915283,0.8688229322433472,2.0785398483276367,0.8540387340576288,"[307.0, 544.0, 401.0, 252.0, 118.0, 70.0, 42.0, 30.0, 24.0, 20.0]",1808,2.1362907886505127,0.8837978271138404,"[282.0, 576.0, 435.0, 251.0, 138.0, 63.0, 35.0, 33.0, 32.0, 26.0]",1871,2117
6,100,True,True,False,False,True,0.8880214691162109,0.8846911191940308,1.87136709690094,0.8776570618800189,"[386.0, 622.0, 340.0, 226.0, 125.0, 61.0, 40.0, 25.0, 20.0, 13.0]",1858,1.852222204208374,0.8502598016060463,"[373.0, 625.0, 318.0, 220.0, 112.0, 54.0, 37.0, 28.0, 20.0, 13.0]",1800,2117
7,200,True,True,False,False,True,0.8817917108535767,0.8815370202064514,1.9156367778778076,0.8790741615493624,"[343.0, 624.0, 401.0, 218.0, 112.0, 66.0, 30.0, 28.0, 20.0, 19.0]",1861,1.9175093173980713,0.8875767595654228,"[354.0, 639.0, 384.0, 215.0, 118.0, 60.0, 43.0, 22.0, 29.0, 15.0]",1879,2117
8,100,True,False,True,True,True,0.8542770743370056,0.8521417379379272,2.1356542110443115,0.7869626830420406,"[269.0, 518.0, 350.0, 212.0, 124.0, 72.0, 55.0, 25.0, 26.0, 15.0]",1666,2.08086895942688,0.7827113840340104,"[290.0, 518.0, 343.0, 199.0, 125.0, 71.0, 41.0, 32.0, 20.0, 18.0]",1657,2117
9,200,True,False,True,True,True,0.861055314540863,0.8553251624107361,2.2475082874298096,0.8530940009447331,"[325.0, 545.0, 351.0, 190.0, 120.0, 96.0, 70.0, 40.0, 39.0, 30.0]",1806,2.2683472633361816,0.8431743032593293,"[313.0, 538.0, 344.0, 206.0, 113.0, 91.0, 66.0, 40.0, 44.0, 30.0]",1785,2117
10,100,True,False,False,True,True,0.8657668232917786,0.8643072843551636,2.11179780960083,0.8408124704770902,"[330.0, 516.0, 359.0, 214.0, 148.0, 97.0, 49.0, 37.0, 17.0, 13.0]",1780,2.102592945098877,0.8379782711384034,"[311.0, 549.0, 357.0, 204.0, 146.0, 90.0, 44.0, 40.0, 20.0, 13.0]",1774,2117
11,200,True,False,False,True,True,0.8778833746910095,0.8775601983070374,2.0272109508514404,0.9026924893717525,"[358.0, 594.0, 381.0, 250.0, 128.0, 77.0, 53.0, 25.0, 27.0, 18.0]",1911,2.007322072982788,0.9031648559282003,"[366.0, 603.0, 404.0, 205.0, 136.0, 77.0, 35.0, 39.0, 23.0, 24.0]",1912,2117
12,100,True,False,True,False,True,0.8492913246154785,0.8466171622276306,2.317789316177368,0.8205007085498347,"[269.0, 455.0, 370.0, 249.0, 164.0, 85.0, 66.0, 43.0, 18.0, 18.0]",1737,2.3644752502441406,0.8190836088804913,"[263.0, 479.0, 332.0, 248.0, 167.0, 89.0, 71.0, 34.0, 23.0, 28.0]",1734,2117
13,200,True,False,True,False,True,0.8568825721740723,0.8536501526832581,2.09692120552063,0.8285309400094474,"[325.0, 541.0, 354.0, 203.0, 120.0, 75.0, 50.0, 40.0, 29.0, 17.0]",1754,2.122281074523926,0.8034955125177138,"[293.0, 550.0, 329.0, 197.0, 127.0, 71.0, 53.0, 36.0, 27.0, 18.0]",1701,2117
14,100,True,False,False,False,True,0.849536120891571,0.8504667282104492,2.2154862880706787,0.7869626830420406,"[264.0, 496.0, 353.0, 198.0, 135.0, 94.0, 51.0, 38.0, 20.0, 17.0]",1666,2.2687747478485107,0.83656117146906,"[293.0, 503.0, 372.0, 217.0, 142.0, 85.0, 68.0, 36.0, 28.0, 27.0]",1771,2117
15,200,True,False,False,False,True,0.871222734451294,0.8669030666351318,2.0270121097564697,0.8568729333963155,"[342.0, 575.0, 388.0, 182.0, 123.0, 79.0, 47.0, 35.0, 21.0, 22.0]",1814,2.0449438095092773,0.8408124704770902,"[358.0, 542.0, 353.0, 193.0, 122.0, 85.0, 55.0, 29.0, 20.0, 23.0]",1780,2117
