,Window_size,Torelax,Gyro,Filter,magnitude,justHand,F1s,F1e,MAE_S,ratio_S,hist_S,count_S,MAE_E,ratio_E,hist_E,count_E,total_steps
0,100,True,True,True,True,True,0.8752583265304565,0.8748077750205994,2.064359188079834,0.8734057628719887,"[322.0, 555.0, 415.0, 250.0, 126.0, 59.0, 42.0, 29.0, 31.0, 20.0]",1849,2.077669858932495,0.8757675956542277,"[324.0, 540.0, 438.0, 243.0, 120.0, 59.0, 43.0, 40.0, 29.0, 18.0]",1854,2117
1,100,False,True,True,True,True,0.8644934296607971,0.8626813292503357,2.308870553970337,0.7401983939537081,"[219.0, 469.0, 348.0, 196.0, 113.0, 86.0, 46.0, 35.0, 33.0, 22.0]",1567,2.3356642723083496,0.7430325932923949,"[222.0, 462.0, 346.0, 199.0, 117.0, 81.0, 52.0, 38.0, 32.0, 24.0]",1573,2117
2,200,True,True,True,True,True,0.8955148458480835,0.8937907814979553,2.114417552947998,0.920642418516769,"[330.0, 542.0, 442.0, 303.0, 135.0, 76.0, 42.0, 36.0, 25.0, 18.0]",1949,2.134861469268799,0.8861596598960794,"[307.0, 508.0, 440.0, 307.0, 122.0, 81.0, 39.0, 28.0, 23.0, 21.0]",1876,2117
3,200,False,True,True,True,True,0.8427579402923584,0.8419057726860046,1.8904837369918823,0.8885214926783184,"[375.0, 610.0, 417.0, 201.0, 109.0, 56.0, 48.0, 29.0, 22.0, 14.0]",1881,1.9023479223251343,0.8852149267831837,"[358.0, 609.0, 443.0, 188.0, 112.0, 55.0, 37.0, 31.0, 25.0, 16.0]",1874,2117
4,100,True,True,True,True,False,0.9079106450080872,0.9068869948387146,1.8134121894836426,0.9385923476617856,"[1585.0, 2611.0, 1805.0, 921.0, 449.0, 220.0, 145.0, 95.0, 55.0, 62.0]",7948,1.8225969076156616,0.9385923476617856,"[1574.0, 2616.0, 1790.0, 937.0, 438.0, 228.0, 154.0, 85.0, 66.0, 60.0]",7948,8468
5,100,False,True,True,True,False,0.9024571180343628,0.9007282853126526,3.385964870452881,0.0134624468587624,"[9.0, 23.0, 22.0, 10.0, 12.0, 9.0, 15.0, 8.0, 4.0, 2.0]",114,3.427419424057007,0.014643363249881908,"[9.0, 24.0, 23.0, 15.0, 16.0, 10.0, 8.0, 9.0, 5.0, 5.0]",124,8468
6,200,True,True,True,True,False,0.9128816723823547,0.9126074314117432,1.7421846389770508,0.9481577704298536,"[1715.0, 2669.0, 1771.0, 915.0, 433.0, 200.0, 136.0, 86.0, 54.0, 50.0]",8029,1.7465194463729858,0.9415446386395843,"[1710.0, 2629.0, 1763.0, 932.0, 407.0, 207.0, 130.0, 82.0, 60.0, 53.0]",7973,8468
7,200,False,True,True,True,False,0.8903355598449707,0.8889275193214417,2.5783133506774902,0.029404818138875768,"[25.0, 70.0, 57.0, 36.0, 18.0, 14.0, 6.0, 14.0, 7.0, 2.0]",249,2.5160000324249268,0.02952290977798772,"[31.0, 70.0, 52.0, 38.0, 18.0, 12.0, 10.0, 7.0, 8.0, 4.0]",250,8468
8,100,True,False,True,True,True,0.8583126664161682,0.8565593361854553,2.3484339714050293,0.8445914029286726,"[234.0, 499.0, 387.0, 262.0, 181.0, 83.0, 56.0, 37.0, 35.0, 14.0]",1788,2.35923433303833,0.838923004251299,"[250.0, 477.0, 392.0, 251.0, 166.0, 95.0, 49.0, 43.0, 35.0, 18.0]",1776,2117
9,100,False,False,True,True,True,0.835852324962616,0.8332859873771667,2.425827741622925,0.7132735002361833,"[226.0, 391.0, 315.0, 207.0, 144.0, 88.0, 48.0, 35.0, 32.0, 24.0]",1510,2.437542200088501,0.6995748700991969,"[224.0, 383.0, 304.0, 211.0, 128.0, 87.0, 50.0, 39.0, 29.0, 26.0]",1481,2117
10,200,True,False,True,True,True,0.8677160739898682,0.8675886988639832,2.505488872528076,0.9036372224846481,"[256.0, 487.0, 400.0, 293.0, 169.0, 114.0, 62.0, 65.0, 49.0, 18.0]",1913,2.5,0.9022201228153047,"[264.0, 487.0, 389.0, 292.0, 168.0, 115.0, 73.0, 54.0, 41.0, 27.0]",1910,2117
11,200,False,False,True,True,True,0.8082886934280396,0.8059378266334534,2.46052622795105,0.6820973075106282,"[187.0, 358.0, 343.0, 205.0, 136.0, 84.0, 55.0, 29.0, 26.0, 21.0]",1444,2.4806923866271973,0.7094945677846008,"[194.0, 364.0, 343.0, 229.0, 149.0, 91.0, 51.0, 36.0, 25.0, 20.0]",1502,2117
12,100,True,False,True,True,False,0.899048388004303,0.8977064490318298,1.9137400388717651,0.9213509683514407,"[1520.0, 2542.0, 1651.0, 885.0, 499.0, 285.0, 159.0, 105.0, 82.0, 74.0]",7802,1.9233943223953247,0.915682569674067,"[1513.0, 2497.0, 1646.0, 879.0, 526.0, 267.0, 164.0, 105.0, 83.0, 74.0]",7754,8468
